Event	Model	Japanese	English	Note	Command	Voice
Introduction	Sendai	川内、参上。夜戦なら任せておいて。	Sendai has arrived. Please leave the night battles to me.	Of the 4 battles that Sendai participated in, 3 were at night.	SetSecretary	Sendai-Introduction.ogg
Library	Sendai	5500トン級の軽巡洋艦の最終タイプ、それが私、川内型よ。熟成された軽巡の魅力、たっぷり教えてあげるから。もちろん、夜戦でね！	I am the culmination of the 5500-ton light cruisers, the Sendai-class. I'll fully teach you the appeal of a mature light cruiser. Of course, it'll be with a night battle!	The Sendai-class was the last completed prior to the start of WWII.	SetSecretary	Sendai-Library.ogg
Secretary 1	Sendai	なに？夜戦？	What? A night battle?	IJN destroyer teams were trained to spot the enemy with the naked eye at night and perform preemptive strikes.	Tap	Sendai-Secretary_1.ogg
Secretary 2	Sendai	まあそう焦んないでよ。夜は長いよ？	Come on, don't be so impatient. The night is long, you know?		Tap	Sendai-Secretary_2.ogg
Secretary 3	Sendai	夜はいいよね。夜はさ。	Nighttime is great, isn't it? Yup.		Tap	Sendai-Secretary_3.ogg
Secretary 3	Sendai Kai Ni	提督、おつかれさま。いっつも夜戦ばっかだと疲れるよね。うん、分かるよ！	Admiral, thanks for the hard work. You're tired from the constant night battles, right? Yeah, I understand!		Tap	SendaiKai2-Secretary_3.ogg
Idle	Sendai	ん？べ、別に退屈とかしてないし、してないんだから！本当よ？	Hm? I-It's not like I'm getting bored or anything, because I'm not! Really!		Idle	Sendai-Idle.ogg
Secretary Married	Sendai	提督、おつかれさま。いっつも夜戦ばっかだと疲れるよね。うん、分かるよ！	Admiral, thanks for the hard work. You're tired from the constant night battles, right? Yeah, I understand!		Tap	Sendai-Secretary_Married.ogg
Secretary Married	Sendai Kai	夜はいいよね、夜はさ。あ！提督もなかなかイイよ♡ 今夜は一緒に夜戦…しよ？	The night is great, yup. Ah! You're also pretty good, Admiral ♡ Tonight, shall we... night battle?		Tap	SendaiKai-Secretary_Married.ogg
Wedding	Sendai	提督、どうしたの？そんなに赤くなって...はっは～ん、さては私と夜戦したいんだな？	Admiral, what's up? You're all red... O~ho, you wanna have a night battle with me?		Wedding	Sendai-Wedding.ogg
Looking At Scores	Sendai	提督に連絡があるみたいよ！	It looks like there's a letter for admiral!		IdleBonus	Sendai-Looking_At_Scores.ogg
Joining A Fleet	Sendai	川内、水雷戦隊出撃します！	Sendai, torpedo squadron, sortieing!		BattleStart	Sendai-Joining_A_Fleet.ogg
Joining A Fleet	Sendai Kai Ni	川内、三水戦、出撃します！	Sendai, DesRon3, sortieing!		BattleStart	SendaiKai2-Joining_A_Fleet.ogg
Equipment 1	Sendai	強化してくれるの？ありがとう!	You're going to make me stronger? Thanks!	Sendai was the only Sendai-class to not get oxygen torpedoes.	TapBonus	Sendai-Equipment_1.ogg
Equipment 1	Sendai Kai Ni	いいじゃん！私にピッタリ！提督、ありがとう！	Isn't this nice! It fits me perfectly! Thanks, Admiral!		TapBonus	SendaiKai2-Equipment_1.ogg
Equipment 1	Sendai Kai Ni	いいじゃーん！いいよね～、こういうの。好きだな～♪	Ain't this good! It's great~ This kind of thing. I love it~♪		TapBonus	SendaiKai2-Equipment_1_Old.ogg
Equipment 2	Sendai	これで、またバリバリ夜戦ができるね。	With this, I can go hard at night battles again.		TapBonus	Sendai-Equipment_2.ogg
Equipment 3	Sendai	早く、夜戦～！	Hurry, let's night battle~!	⇧ shared with expedition selection, resource collection, instant repair and development	TapBonus	Sendai-Equipment_3.ogg
Supply	Sendai	強化してくれるの？ありがとう!	You're going to make me stronger? Thanks!		TapBonus	Sendai-Supply.ogg
Supply	Sendai Kai	夜戦には補給が必要だよね！	Supplies are absolutely necessary for night battles!		TapBonus	SendaiKai-Supply.ogg
Docking Minor	Sendai	朝、か……。少し、休んでくるね。	Morning, huh... I'm going to rest for a little while.		DockingMinor	Sendai-Docking_Minor.ogg
Docking Major	Sendai	流石にへとへと……ちょっと、ドック入りするね。	As expected, I'm dead tired... I'll just head into the docks for a bit, okay?		DockingMajor	Sendai-Docking_Major.ogg
Docking Major	Sendai Kai Ni	はぁー頑張ったぁ。ちょっと夜戦の汗を落としてくるね。	Whew... I worked hard. I'm going to clean up the sweat from the night battles a little, alright?		DockingMajor	SendaiKai2-Docking_Major.ogg
Docking Complete	Sendai	修理の終わった艦があるね。	A ship has finished repairing.		DockingComplete	Sendai-Docking_Complete.ogg
Construction	Sendai	新しい艦が参加しましたね。	A new ship has arrived.		AddShip	Sendai-Construction.ogg
Returning From Sortie	Sendai	艦隊が帰投したね。戦果はどうかな？	The fleet has returned. I wonder how the results are?		BattleComplete	Sendai-Returning_From_Sortie.ogg
Returning From Sortie	Sendai Kai Ni	三水戦、帰投したよ！	DesRon3 has returned to port.		BattleComplete	SendaiKai2-Returning_From_Sortie.ogg
Starting A Sortie	Sendai	絶対夜戦してよね？約束よ？	You must night battle, okay? Promise?		BattleStart	Sendai-Starting_A_Sortie.ogg
Battle Start	Sendai	砲雷撃戦、用意！てーっ！	Naval battle, ready! Goooo!		BattleStart	Sendai-Battle_Start.ogg
Battle Start	Sendai Kai Ni	さぁ仕掛けるよ！よーい、撃てーっ！！	Now, let's get started. Ready, aim... fire!		BattleStart	SendaiKai2-Battle_Start.ogg
Attack	Sendai	突撃よ！	Charge!	⇧ shared with day/night special attacks, support expedition team arrival	Battle	Sendai-Attack.ogg
Night Battle	Sendai	やったぁ！待ちに待った夜戦だぁ！	Finally! My long-awaited night battle!		BattleStartNight	Sendai-Night_Battle.ogg
Night Attack	Sendai	さあ、私と夜戦しよ！	Now, night battle with me!		BattleNight	Sendai-Night_Attack.ogg
MVP	Sendai	当然の結果ね。いいのいいの。そんなに褒めなくっても。	This is the expected outcome. It's fine, it's fine. You don't need to praise me so much.		MVP	Sendai-MVP.ogg
Minor Damage 1	Sendai	ひゃぁっ！	Hyaa!		MinorDamage	Sendai-Minor_Damage_1.ogg
Minor Damage 2	Sendai	やったな！	Now you've done it!		MinorDamage	Sendai-Minor_Damage_2.ogg
Major Damage	Sendai	ふぁぁぁあぁ！	Kyaa!		MajorDamage	Sendai-Major_Damage.ogg
Major Damage	Sendai Kai Ni	肉を切らせて、骨を断つから！	Tear through my flesh and I'll break through your bones!		MajorDamage	SendaiKai2-Major_Damage.ogg
Sunk	Sendai	もっと…夜戦で…暴れたかったなぁ…	I wanted to... go wild... at night some more....	暴れた - Act violently	Sunk	Sendai-Sunk.ogg
00:00	Sendai Kai Ni	夜はいいよね。ちょうど深夜零時。夜戦...する？	The night is nice, isn't it? It's midnight now. Do you want to... night battle?		Hourly	Sendai-00.ogg
01:00	Sendai Kai Ni	夜！マルヒトマルマル！うふふっ。いいよね、夜は！	Nighttime! 0100! *giggle* Isn't the night nice?		Hourly	Sendai-01.ogg
02:00	Sendai Kai Ni	夜！マルフタマルマル！ふぅぅぅ！提督、夜は長いよ！まだまだ寝かせないからね？ほら！夜戦、夜戦！	Nighttime! 0200! Whew~ Admiral, the night is still young. I won't let you sleep just yet, alright? Come on now, let's night battle!		Hourly	Sendai-02.ogg
03:00	Sendai Kai Ni	夜！マルサンマル… あ、提督寝てる！コラ！	Nighttime! 030- ah, you're asleep, Admiral! Hey!		Hourly	Sendai-03.ogg
04:00	Sendai Kai Ni	まだまだ夜！マルヨンマルマル！まだ夜だかんね！	It's still nighttime! 0400! It's still nighttime, you know?		Hourly	Sendai-04.ogg
05:00	Sendai Kai Ni	夜…朝かもしれない…マルゴーマルマル…朝か…な…	Nighttime... no, it's morning... 0500... It's morning...		Hourly	Sendai-05.ogg
06:00	Sendai Kai Ni	マルロクマルマル…朝だよ朝…ふええ〜…朝か…	0600... It's already... morning...*yawn*... morning, huh...		Hourly	Sendai-06.ogg
07:00	Sendai Kai Ni	マルナナマルマル…ふええ…なんか眠い。提督、私寝ていいかな？そう？うん、おやすみ…	0700... *yawn*... I'm kinda sleepy. Admiral, can I go to sleep? Ok? Alright, goodnight...		Hourly	Sendai-07.ogg
08:00	Sendai Kai Ni	ん…マルハチ…ん、なんだよ？神通起こすなって…マルマル…ん…ふあはあふあ…	Ngh... 08...Wh-what? Don't bother me, Jintsuu... 00... Ngh... *snore*		Hourly	Sendai-08.ogg
09:00	Sendai Kai Ni	ふあはあ…だから神通やめろって…まだ眠いんにゃから…マルキュウ…	*snore*... I told you not to bother me, Jintsuu... I'm steel shleepin'... 09... *snore*	Sleeptalking.	Hourly	Sendai-09.ogg
10:00	Sendai Kai Ni	ふあはあ…うぐ…いって！何すんだ神通！？って、提督か。優しく起こしてよ！えっ？もう10時！？	*snore*... Ugh... that hurts! What was that for, Jintsuu?! I-it was you, admiral?! Wake me up more gently! Eh? It's already 10am?!		Hourly	Sendai-10.ogg
11:00	Sendai Kai Ni	じゃあ仕方ない、そろそろお仕事しますか。えっと、今は…あ、ヒトヒトマルマルみたい。ふあああ〜	It can't be helped, I better get to work. Ummm, it looks like it's now 1100. *yawn*~	Don't sleep on the job now, Sendai...	Hourly	Sendai-11.ogg
12:00	Sendai Kai Ni	ヒトフタマルマルだよ、提督。そうね、朝はスキップしちゃったし…昼は私が作ろうか？ふふっ！	It's 1200, Admiral. That's right, since I skipped breakfast... shall I make lunch?		Hourly	Sendai-12.ogg
13:00	Sendai Kai Ni	ヒトサンマルマル！お昼できた！どうよどう？意外と私女子力高いよね？じゃあ今夜は夜戦しよう？	1300! Lunch is ready! Well, how is it? My feminine prowess is surprisingly high, isn't it? So, can we have a night battle tonight?	Talking about night battles just 2 hours after waking up, eh...	Hourly	Sendai-13.ogg
14:00	Sendai Kai Ni	ヒトヨンマ…お、三水戦の皆集まってるよね？よーし！じゃ、夜戦に備えて、演習しときますか！	140... Oh, everyone from DesRon3 is here? Right then, shall we have an exercise to prepare for night battles?	Sendai was the flagship of DesRon3.	Hourly	Sendai-14.ogg
15:00	Sendai Kai Ni	ヒトゴーマルマル。ん？昼に夜戦演習できるかって？できるよ！まずこうやって目隠しをしてね…え？	1500. Eh, can you really have night battle exercises in the day, you ask? Of course you can! First, you blindfold yourself like this... eh?	Obsessed.	Hourly	Sendai-15.ogg
16:00	Sendai Kai Ni	ヒトロクマルマル！よーし！もうすぐ夜だ！皆、夜戦の用意はいい？補給もバッチリかな？	1600. Alright, it's almost nighttime! Are you ready for the night battles, everyone? You're all fully resupplied too, right?		Hourly	Sendai-16.ogg
17:00	Sendai Kai Ni	ヒトナナマルマル！提督！ほら、夕日！もうすぐ夜だ！夜だよ、夜！待ち遠しいね。ワクワクするよ！	1700. Look at the sunset, Admiral! It's almost nighttime! Nighttime! I'm getting fired up, I can't wait.		Hourly	Sendai-17.ogg
18:00	Sendai Kai Ni	夜！ヒトハチマルマル！ついに来たね、夜の時間が！さ、まず腹ごしらえだ！川内お手製の夜御飯、食べていいよ！	Nighttime! 1800! It's finally nighttime. Yup, but first, we'll have to fill our stomachs. You can eat this meal that I made myself!		Hourly	Sendai-18.ogg
19:00	Sendai Kai Ni	夜！ヒトキュウマルマル！提督、お腹もいっぱい？よーし！じゃあ皆、行くよ！三水戦、全艦抜錨！	Nighttime! 1900! Admiral, you full? Alright! Now let's go, everyone! DesRon3, all ships set sail!		Hourly	Sendai-19.ogg
20:00	Sendai Kai Ni	夜だよ、夜！フタマルマルマル！全艦、両舷強速。夜戦海域へ向かうよ！他の艦隊もどんどんおいで！	It's really nighttime now! 2000. All ships, full speed ahead! Let's head to the night battle area. Other fleets, hurry up and follow us too!		Hourly	Sendai-20.ogg
21:00	Sendai Kai Ni	夜戦の時間だよ。フタヒトマルマル。夜だよ、夜！何度でも言うけどさ、夜はいいよね。夜は！さ！！	It's time for a night battle. 2100. It's really nighttime now! No matter what anyone says, the nighttime is great. Am I right?!		Hourly	Sendai-21.ogg
