Event	Model	Japanese	English	Note	Command	Voice
Introduction	Taigei	こんにちわあ。潜水母艦大鯨です。不束者ですが、よろしくお願い致します。	Good day, I'm Submarine Tender Taigei. I may be inexperienced, but I am glad to be of service.		SetSecretary	Taigei-Introduction.ogg
Introduction	Ryuuhou	潜水母艦改装空母の、龍鳳です。航空母艦として、私、頑張ります！	Carrier Ryuuhou, remodeled from a Submarine Tender. I'll once again try my best as a carrier!		SetSecretary	Ryuuhou-Introduction.ogg
Library	Taigei	潜水母艦、大鯨です。潜水艦隊旗艦機能と補給物資や水上偵察機を装備して、潜水艦作戦を支援します。いざという時は空母に改装できる空母予備艦として設計されました。頑張ります!	I'm Submarine Tender Taigei. I serve as flagship of submarine fleets in order to support operations through supplies and usage of scout planes. I have also been designed as a carrier backup to be converted if it is needed. I'll do my best!		SetSecretary	Taigei-Library.ogg
Library	Ryuuhou	潜水母艦改装空母の龍鳳です。機関の換装の影響で速度は計画通りには出なかったけれど、このクラスの軽空母としては充実の飛行甲板と兵装なんです。空母龍鳳、精一杯頑張ります！	Carrier Ryuuhou, remodeled from a Submarine Tender. My speed was not up to plan specifications as there were issues with changing the boilers, but I have an enhanced flight deck and armaments as this Light Carrier class. Carrier Ryuuhou, giving it her all!		SetSecretary	Ryuuhou-Library.ogg
Secretary 1	Taigei	なんでしょうかあ？	What is iiittt?		Tap	Taigei-Secretary_1.ogg
Secretary 1	Ryuuhou	はい、出撃ですか?	Yes, is it a sortie?		Tap	Ryuuhou-Secretary_1.ogg
Secretary 2	Taigei	潜水艦と編成ですか？お任せください！	Assigning me with submarines? Just leave it to me!		Tap	Taigei-Secretary_2.ogg
Secretary 2	Ryuuhou	不幸…？運が悪い…？え、私が！？そんなこと無いです！	Unfortunate...? Bad luck? Eh, me?! That's just not true!		Tap	Ryuuhou-Secretary_2.ogg
Secretary 2	Ryuuhou Kai	えっ！？機動部隊の出撃ですか！？	Eh?! A sortie for the mobile squadron?		Tap	RyuuhouKai-Secretary_2.ogg
Secretary 3	Taigei	えっと、この中ですか？玉ねぎや馬鈴薯…あと…補給用の魚雷とか…です…はい…	Um, you're asking me what's in here? Onions, potatoes... and torpedoes for supply use... yeah...		Tap	Taigei-Secretary_3.ogg
Secretary 3	Ryuuhou	ドーリットル？何か、ちょっと苦手な響きの言葉ですね…何もしない…？何…？	Doolittle? Somehow, the word doesn't ring well with me... Don't do anything...? Huh...?	She was the only IJN vessel bombed during the Doolittle raid, which delayed her launch as CVL.	Tap	Ryuuhou-Secretary_3.ogg
Secretary 3	Ryuuhou Kai	もう！輸送艦や防空砲台じゃなくて、私、空母です、空母！	Geez! I'm not a transport, nor an anti-air cannon stand! I'm a carrier, a carrier you know!	Ryuuhou was left as a AAA stand in Kure till the end of war due to damages suffered.	Tap	RyuuhouKai-Secretary_3.ogg
Idle	Taigei	て・い・と・く、提督！あ、あの…潜水艦作戦は……あっ、しばらくお休み…そ、そうですか…いえ、なんでもないんです…はい……	Ad~mi~ral~♪ Admiral! U-um... about the submarine operations... Ah, a short break... I-I see... No, it's nothing... mmhm...	Give the subs a rest from running 2-3, okay?	Idle	Taigei-Idle.ogg
Idle	Ryuuhou	て・い・と・く？提督！あ、あの、空母機動部隊の出撃は？…あ…えっと…暫くお休み？…そ、そうですか…あ、はい…	Ad~mi~ral~♪ Admiral! Um... is Carrier Task Force deploying? Ah, a short break... I-I see, right...		Idle	Ryuuhou-Idle.ogg
Secretary Married	Taigei	提督、お疲れではないですか？私、潜水母艦なので、居住性はちょっと自信あります。	Aren't you a little tired, admiral? As I am a Submarine Tender, I am quite confident in my livability.		Tap	Taigei-Secretary_Married.ogg
Secretary Married	Ryuuhou	提督、お疲れではないですか？私の飛行甲板で少しお休みになられますか？はい！	Aren't you tired, admiral? Want to take a quick nap on my flight deck? Please do!		Tap	Ryuuhou-Secretary_Married.ogg
Wedding	Taigei	提督…こんな私を、生まれたままの姿で育ててくれて、本当にありがとうございます…いつも、はい、いつも、感謝しています。いつまでも、提督といっしょに…	Admiral... I thank you from the bottom of my heart for raising me in my default form. I will always, yes, always be thankful. I'll always be besides you...		Wedding	Taigei-Wedding.ogg
Wedding	Ryuuhou	提督、改装空母の私をここまで育ててくれて、本当にありがとうございます。いつも、いつも感謝しています。いつまでも、いつまでも提督の機動部隊に、私…！	Admiral... I thank you from the bottom of my heart for raising me as a remodeled carrier. I will always, yes, always be thankful. I'll always, always be part of the admiral's mobile squadron!		Wedding	Ryuuhou-Wedding.ogg
Looking At Scores	Taigei	提督？状況把握ですね、大切ですね。	Admiral? I see you're grasping the situation. It sure is important.		IdleBonus	Taigei-Looking_At_Scores.ogg
Looking At Scores	Ryuuhou	提督、どんな状況ですか？　大丈夫？	Admiral, what is the situation like? Is it okay?		IdleBonus	Ryuuhou-Looking_At_Scores.ogg
Joining A Fleet	Taigei	潜水艦隊旗艦、大鯨、出撃します！	Submarine Fleet flagship, Taigei, heading out!		BattleStart	Taigei-Joining_A_Fleet.ogg
Joining A Fleet	Ryuuhou	はい！　航空母艦「龍鳳」、抜錨します！	Okay! Carrier Ryuuhou, casting off!		BattleStart	Ryuuhou-Joining_A_Fleet.ogg
