Event	Model	Japanese	English	Note	Command	Voice
Introduction	Yamato	大和型戦艦、一番艦、大和。推して参ります！	First of the Yamato-class battleships, Yamato. Heading forth!		SetSecretary	Yamato-Introduction.ogg
Introduction	Yamato Kai	大和型戦艦一番艦大和、対空火器を大幅に強化致しました。	First of the Yamato-class battleships, Yamato. Now with much upgraded anti-air weaponry.	After being damaged by American submarine, Yamato returned to Kure for extensive repairs. Two secondary guns were removed and replaced with anti-aircraft flak guns and Radar.	SetSecretary	YamatoKai-Introduction.ogg
Library	Yamato	大和型戦艦一番艦、大和です。艦隊決戦の切り札として、呉海軍工廠で極秘建造されました。当時の最高技術の粋を結集されたこの体、二番艦の武蔵とともに、連合艦隊の中枢戦力として頑張ります！	First of the Yamato-class battleships, Yamato. As the trump card for the Decisive Battle, I was made in utmost secrecy at the Kure Naval Yard. With the most up-to-date and sophisticated technology concentrated in my body, along with the 2nd ship, Musashi, I will do my best as the centre of the combined fleet!	Decisive Naval Battle, or Kantai Kessen, was the IJN's strategic doctrine during WWII, in which after a series of operations had weakened the US fleet, battleships would finish the last, and presumably, the strongest part of the fleet.	SetSecretary	Yamato-Library.ogg
Secretary 1	Yamato	提督、なんでしょう？	Admiral, what is it?		Tap	Yamato-Secretary_1.ogg
Secretary 1	Yamato Kai	提督～？ あの～、いえ、いいですけど…	Admiral~? Erm~ no, its okay, but...		Tap	YamatoKai-Secretary_1.ogg
Secretary 2	Yamato	ホテルですって？ち、違います！	You called me a hotel? N-no, I'm not!	Due to her highly luxurious living facility and the fact that she spent most of her service life in the harbor, she was nicknamed "Yamato Hotel".	Tap	Yamato-Secretary_2.ogg
Secretary 2	Yamato Kai	んもぉ～、ホテルなんて言わせませんよ！	Geez... stop calling me "hotel" already!	Refer to Secretary 3 Kai note	Tap	YamatoKai-Secretary_2.ogg
Secretary 3	Yamato	あのー？ そんなに気になります？ やっぱり副砲がちょっと多いの？	Erm... are you that interested? Well, is it because I have a lot of secondary guns?	2 triple 155 mm turrets were removed later to make space for more anti-aircraft armaments.	Tap	Yamato-Secretary_3.ogg
Secretary 3	Yamato Kai	提督？ あの、まあ…居住性は他の娘とは段違いではあるのだけれど…いいの？	Admiral? Um... well, my living conditions are noticeably different than the other girls'. ...Is that okay?	Air conditioned quarters, bathhouse, kitchen with refrigeration facility. full course meal for officers with live band playing in the background. Most of these considered highly luxurious for combat vessels of its time.	Tap	YamatoKai-Secretary_3.ogg
Idle	Yamato	ん…あ…提督ごめんなさい。主砲ちょっと邪魔ですか？	Mm... ah... I'm sorry, admiral. Are my main guns in your way?	Yamato's main cannons are the largest naval guns in the world.	Idle	Yamato-Idle.ogg
Secretary Married	Yamato	提督、少しお疲れではないですか？	Admiral, are you not a bit tired?		Idle	Yamato-Secretary_Married.ogg
Secretary Married	Yamato Kai	提督、少しお疲れではないですか？大和が特製紅茶、お入れしましょうか。気持ちが休まりますよ。ちょっと、待っていて下さいね。	Admiral, are you feeling a bit tired? Shall I make some special tea for you? It will help you feel relaxed. Ufu♪ Please wait a little while.		Idle	YamatoKai-Secretary_Married.ogg
Wedding	Yamato	提督、いつもありがとうございます。連合艦隊の旗艦を務めるよりも、敵戦艦と撃ちあうよりも、今、こうしている時が私は一番好き。大和は…ずっと提督の、あなたの側で、頑張ります。	Admiral, as always, thank you so much. Even more than serving as flagship of the Combined Fleet... and more than fighting enemy battleships... it's now... this moment... that I love the most. I will... always, Admiral... at my darling's side, I shall do my best.		Wedding	Yamato-Wedding.ogg
Looking At Scores	Yamato	大本営からの通信ですか？	A communiqué from the Imperial Headquarters?		IdleBonus	Yamato-Looking_At_Scores.ogg
Looking At Scores	Yamato Kai	我が艦隊の戦績ですか？楽しみです。	Our fleet's military records? Looking forward to it.		IdleBonus	YamatoKai-Looking_At_Scores.ogg
Joining A Fleet	Yamato	戦艦大和、連合艦隊、出撃です！	Battleship Yamato, combined fleet, launching!		BattleStart	Yamato-Joining_A_Fleet.ogg
Joining A Fleet	Yamato Kai	旗艦大和、出撃します！	Flagship Yamato, launching!		BattleStart	YamatoKai-Joining_A_Fleet.ogg
Equipment 1	Yamato	改装ですね？ありがたいです！	A remodel, then? Thank you so much!		TapBonus	Yamato-Equipment_1.ogg
Equipment 2	Yamato Kai	対空、対艦。どちら重視かなぁ？	Anti-air, Anti-ship. Which one should I be focused on...?	Over the years Yamato replaced few of its secondary guns in exchange for better anti-air capability, to counter the increasing threat of aerial attacks.	TapBonus	YamatoKai-Equipment_1.ogg
Equipment 2	Yamato	あ、ありがとうございます！	T-thank you so much!		TapBonus	Yamato-Equipment_2.ogg
Equipment 3	Yamato Kai	大和、嬉しい。提督、感謝です♪	Yamato is pleased. Thank you, admiral!		TapBonus	YamatoKai-Equipment_2.ogg
Equipment 3	Yamato	行くわ！	Off I go!	⇧ shared with expedition selection, resource collection, instant repair and development	BattleStart	Yamato-Equipment_3.ogg
Supply	Yamato	ありがたく頂きます。	I am grateful for your assistance.	She often speaks in very polite/honorific form.	TapBonus	Yamato-Supply.ogg
Docking Minor	Yamato	ちょっと、お風呂に行ってきます。	I'm going to the bath for a bit.		DockingMinor	Yamato-Docking_Minor.ogg
Docking Minor	Yamato Kai	短めのお風呂、いただきます。	I shall take a short bath.		DockingMinor	YamatoKai-Docking_Minor.ogg
Docking Major	Yamato	イッタッタ～ ごめんなさい、私がここまでやられるなんて～	Ow-w-w. I'm sorry, I didn't expect they'd get me that badly~	Literally "have been had to that extent", implying the damage she received were beyond her expectations.	DockingMajor	Yamato-Docking_Major.ogg
Docking Major	Yamato Kai	あ、甘く見た訳じゃないんだけど、ごめんなさい。	I...I didn't underestimate (the enemy), though I'm sorry.		DockingMajor	YamatoKai-Docking_Major.ogg
Docking Complete	Yamato	損傷艦の修復が完了致しました。	Repairs on the damaged ship are completed.		DockingComplete	Yamato-Docking_Complete.ogg
Docking Complete	Yamato Kai	修理完了の艦娘が在るみたいです。	Repairing of the ship daughter seems to be completed.		DockingComplete	YamatoKai-Docking_Complete.ogg
Construction	Yamato	新造艦の建造が完了したようです。	The construction of the new ship seems to be complete.		AddShip	Yamato-Construction.ogg
Construction	Yamato Kai	新しい艦娘（かんむす）が戦列に加わりました。	New ship girls has been added to our lineup.		AddShip	YamatoKai-Construction.ogg
Returning From Sortie	Yamato	お疲れ様です。艦隊、帰投しました。	Thank you for your hard work. The fleet has returned.		BattleComplete	Yamato-Returning_From_Sortie.ogg
Returning From Sortie	Yamato Kai	艦隊が無事帰投しました。良かったぁ～！	Our fleet has returned safely. That's great~!		BattleComplete	YamatoKai-Returning_From_Sortie.ogg
Starting A Sortie	Yamato	戦艦大和、推して参ります。	Battleship Yamato, heading forth!		BattleStart	Yamato-Starting_A_Sortie.ogg
Battle Start	Yamato	さぁ、やるわ！砲雷撃戦、用意！	Yeah, let's go! Naval battle, ready!		BattleStartDay	Yamato-Battle_Start.ogg
Battle Start	Yamato Kai	大和、砲雷撃戦、はじめます！	Yamato, commence firing!		BattleStartDay	YamatoKai-Battle_Start.ogg
Attack	Yamato	第一・第二主砲、斉射、始め！	First and second cannons, volley fire, start!		BattleDay	Yamato-Attack.ogg
Attack	Yamato Kai	敵艦捕捉、全主砲薙ぎ払え！	Enemy ship acquired, fire broadside!	⇧ shared with day/night special attacks, support expedition team arrival	BattleDay	YamatoKai-Attack.ogg
Night Battle	Yamato	戦艦大和、夜戦を敢行します！	Battleship Yamato, starting night battle!		BattleStartNight	Yamato-Night_Battle.ogg
Night Battle	Yamato Kai	戦艦大和、突撃します！	Battleship Yamato, charging in!		BattleStartNight	YamatoKai-Night_Battle.ogg
Night Attack	Yamato	夾叉(きょうさ)か･･･うん、次は直撃させます。	Bracket fire, huh... Yes, the next shot will be a direct hit.	夾叉 (Kyousa), or bracket, means a succession of two salvos, one over and one short, or one right and one left, with no straddles. When this happens, minor adjustments are needed.(while straddle means both short and over, or both right and left shots occur in the SAME salvo)	BattleNight	Yamato-Night_Attack.ogg
Night Attack	Yamato Kai	そうか･･･それなら･･･やるしかないわね！	Is that so... well then, I have to do this!		BattleNight	YamatoKai-Night_Attack.ogg
MVP	Yamato	大和が一番ですか。少し晴れがましいですね。次の海戦もお任せ下さいね。	I'm number one? I'm a bit proud of myself. Leave the next sortie to me!		MVP	Yamato-MVP.ogg
Minor Damage 1	Yamato	そ、それで直撃のつもりなの！？	D-did you think you landed a direct hit?		MinorDamage	Yamato-Minor_Damage_1.ogg
Minor Damage 2	Yamato	傾斜復元しないと…。注水を急いで！	I'm starting to list... ballast pumps, hurry!		MinorDamage	Yamato-Minor_Damage_2.ogg
Major Damage	Yamato	くっ、こんな所で、大和は、沈みません！	Hmph, Yamato, will not, sink at such place!	She was listing two or three times during Operation Ten-Go	MajorDamage	Yamato-Major_Damage.ogg
Sunk	Yamato	また…逝くのね…総員…最上甲板…武蔵…信濃…あとは頼みます…	Again... I pass away... all hands... top deck... Musashi... Shinano... I leave the rest to you...	Yamato was ultimately destroyed by a magazine explosion, unleashing a mushroom cloud more than 3.7 miles high that could be seen almost a hundred miles away on Kyushu. Note that historically both Musashi and Shinano were sunk earlier than Yamato.	Sunk	Yamato-Sunk.ogg
00:00	Yamato Kai	マルマルマルマル。深夜ですね。	0000. It's night-time.		Hourly	Yamato_Kai-00.ogg
01:00	Yamato Kai	マルヒトマルマル。提督、そろそろお休みにならないと。	0100. Admiral, shouldn't you be going to bed soon?		Hourly	Yamato_Kai-01.ogg
02:00	Yamato Kai	提督？まだ寝なくて大丈夫ですか？現在時刻マルフタマルマルです。	Admiral? Not going to bed, are you okay? It is now 0200.		Hourly	Yamato_Kai-02.ogg
03:00	Yamato Kai	マルサンマルマル。そろそろ流石にお疲れじゃないですか？	0300. At this time, certainly shouldn't you be tired?		Hourly	Yamato_Kai-03.ogg
