Event	File	Ship	Note
TitleCall01	Title01.ogg	Akagi	Kancolle
TitleCall01	Title02.ogg	Mogami	Starting
TitleCall02	Title03.ogg	Myoukou	Yoroshiku
TitleCall02	Title04.ogg	Fusou	Yoroshiku
TitleCall01	Title05.ogg	Fusou	Kancolle
TitleCall01	Title06.ogg	Ikazuchi	Starting
TitleCall02	Title07.ogg	Mutsuki	Yoroshiku
TitleCall01	Title08.ogg	Mutsuki	Kancolle
TitleCall01	Title09.ogg	Chiyoda	Starting
TitleCall02	Title10.ogg	Tatsuta	Yoroshiku
TitleCall01	Title11.ogg	Mutsuki	Kancolle
TitleCall01	Title12.ogg	Chiyoda	Starting
TitleCall01	Title13.ogg	Kongou	Kancolle
TitleCall01	Title14.ogg	Nagato	Starting
TitleCall02	Title15.ogg	Fubuki	Yoroshiku
TitleCall01	Title16.ogg	Haruna	Kancolle
TitleCall01	Title17.ogg	Nagato	Starting
TitleCall02	Title18.ogg	Nagato	TTKEntering
TitleCall01	Title19.ogg	Tatsuta	Kancolle
TitleCall02	Title20.ogg	Ryuujou	AkatsukiSuihesen
TitleCall02	Title21.ogg	Mogami	TTKEntering
TitleCall01	Title22.ogg	Tatsuta	Kancolle
TitleCall02	Title23.ogg	Haruna	AkatsukiSuihesen
TitleCall02	Title24.ogg	Chiyoda	TTKEntering
TitleCall01	Title25.ogg	Tatsuta	Kancolle
TitleCall02	Title26.ogg	Tatsuta	AkatsukiSuihesen
TitleCall02	Title27.ogg	Sazanami	TTKEntering
TitleCall01	Title28.ogg	Ooi	Kancolle
TitleCall02	Title29.ogg	Ooi	AkatsukiSuihesen
TitleCall02	Title30.ogg	Hatsushimo	TTKEntering
TitleCall01	Title31.ogg	Ooi	Kancolle
TitleCall01	Title32.ogg	Sazanami	Starting
TitleCall02	Title33.ogg	Yuudachi	TTKEntering
TitleCall01	Title34.ogg	Nagato	Kancolle
TitleCall01	Title35.ogg	Hatsushimo	Starting
TitleCall01	Title36.ogg	Nagato	Kancolle
TitleCall01	Title37.ogg	Yamato	Starting
TitleCall01	Title38.ogg	Nagato	Kancolle
TitleCall01	Title39.ogg	Mogami	Kancolle
TitleCall01	Title40.ogg	Mogami	Kancolle
TitleCall01	Title41.ogg	Myoukou	Kancolle
TitleCall01	Title42.ogg	Myoukou	Kancolle
TitleCall01	Title43.ogg	Fubuki	Kancolle
TitleCall01	Title44.ogg	Fubuki	Kancolle
TitleCall02	046.mp3	???	AkatsukiSuihesen
TitleCall01	085.mp3	???	Starting
TitleCall02	018.mp3	???	TTKEntering
TitleCall01	021.mp3	???	Kancolle
TitleCall02	017.mp3	???	TTKEntering
TitleCall01	065.mp3	???	Kancolle
TitleCall01	037.mp3	???	Kancolle
TitleCall01	013.mp3	???	Kancolle
TitleCall01	040.mp3	???	Starting
