Source	File
Compass Spinning	Sound_se_4.ogg
Next/Open Page	Sound_se_6.ogg
Select	Sound_se_7.ogg
Return	Sound_se_8.ogg
Unlocking Ship/Equipment	Sound_se_10.ogg
Select Ship/Equipment for Scrap/Select Furniture	Sound_se_15.ogg
Click on Locked Dock	Sound_se_21.ogg
Locking Ship/Equipment	Sound_se_22.ogg
Resupply	Sound_se_23.ogg
Accept/Cancel Quest	Sound_se_24.ogg
Ship Drop	Sound_se_26.ogg
Quest Complete	Sound_se_30.ogg
Shop Purchase	Sound_se_33.ogg
Recon/Sea Plane on Scout	Sound_se_39.ogg
Assigning Ship	Sound_se_32.ogg
